"command_id","model","backend","foundry_pid","request_success","parse_success","json_valid","latency_ms","foundry_working_set_before_mb","foundry_working_set_after_mb","foundry_working_set_delta_mb","foundry_private_memory_before_mb","foundry_private_memory_after_mb","foundry_private_memory_delta_mb","foundry_cpu_delta_seconds","approximate_foundry_cpu_percent_during_request","system_cpu_before_percent","system_cpu_after_percent","notes"
"C01","Phi-3-mini-4k-instruct-generic-cpu:3","foundry_local_live","29080","True","True","True","5923.56","2827.5","2823.78","-3.72","6903.31","6899.56","-3.75","45.609","769.96","3.41","14.92","live Foundry Local request completed"
"C02","Phi-3-mini-4k-instruct-generic-cpu:3","foundry_local_live","29080","True","False","False","11665.95","2823.14","2827.62","4.48","6898.92","6903.39","4.47","90.422","775.09","7.18","37.18","live Foundry Local request completed"
"C03","Phi-3-mini-4k-instruct-generic-cpu:3","foundry_local_live","29080","True","True","True","7794.63","2826.86","2828.35","1.49","6902.63","6904.12","1.49","60.328","773.97","12.46","24.64","live Foundry Local request completed"
"C04","Phi-3-mini-4k-instruct-generic-cpu:3","foundry_local_live","29080","True","True","True","6643.18","2827.77","2824.14","-3.63","6903.55","6899.81","-3.74","50.656","762.53","29.38","17.91","live Foundry Local request completed"
"C05","Phi-3-mini-4k-instruct-generic-cpu:3","foundry_local_live","29080","True","True","True","8385.6","2823.46","2828.61","5.15","6899.12","6904.28","5.16","65.234","777.93","7.91","9.92","live Foundry Local request completed"
"C06","Phi-3-mini-4k-instruct-generic-cpu:3","foundry_local_live","29080","True","True","True","4160.54","2827.94","2822.54","-5.4","6903.62","6897.89","-5.73","31.906","766.87","8.52","24.7","live Foundry Local request completed"
"C07","Phi-3-mini-4k-instruct-generic-cpu:3","foundry_local_live","29080","True","True","True","4231.31","2822.05","2823.28","1.23","6897.4","6897.48","0.08","32.484","767.71","19.33","17.27","live Foundry Local request completed"
"C08","Phi-3-mini-4k-instruct-generic-cpu:3","foundry_local_live","29080","True","True","True","9268.66","2822.41","2825.24","2.83","6896.58","6899","2.42","70.844","764.34","10.34","36.88","live Foundry Local request completed"
"C09","Phi-3-mini-4k-instruct-generic-cpu:3","foundry_local_live","29080","True","True","True","8384.24","2824.56","2829.06","4.5","6898.33","6903.17","4.84","64.25","766.32","25.6","27.02","live Foundry Local request completed"
"C10","Phi-3-mini-4k-instruct-generic-cpu:3","foundry_local_live","29080","True","True","True","4452.51","2828.52","2823.88","-4.64","6902.62","6897.92","-4.7","33.938","762.22","7.09","97.44","live Foundry Local request completed"
"C11","Phi-3-mini-4k-instruct-generic-cpu:3","foundry_local_live","29080","True","True","True","5632.02","2822.91","2823.06","0.15","6897.16","6897.59","0.43","43.203","767.1","24.41","46.81","live Foundry Local request completed"
"C12","Phi-3-mini-4k-instruct-generic-cpu:3","foundry_local_live","29080","True","True","True","6851.14","2822.57","2825.71","3.14","6897.1","6900","2.9","52.688","769.04","54.04","62","live Foundry Local request completed"
"C13","Phi-3-mini-4k-instruct-generic-cpu:3","foundry_local_live","29080","True","True","True","7922.8","2825.11","2827.88","2.77","6899.39","6902.07","2.68","61.406","775.05","21.73","79.85","live Foundry Local request completed"
"C14","Phi-3-mini-4k-instruct-generic-cpu:3","foundry_local_live","29080","True","True","True","7485","2827.33","2827.51","0.18","6901.51","6901.37","-0.14","57.594","769.46","24.42","28.96","live Foundry Local request completed"
"C15","Phi-3-mini-4k-instruct-generic-cpu:3","foundry_local_live","29080","True","True","True","5316.69","2826.89","2828.07","1.18","6900.75","6901.87","1.12","41.375","778.21","34.98","15.77","live Foundry Local request completed"
